MOL_ID,molecule_ID,molecule_name,mw,hdon,hacc,alogp,halflife,ob,caco2,bbb,dl,FASA,tpsa,rbn
MOL000001,1,anthocyanidin,251.220,2,4,1.510,1.830779,45.5973916475,-3.14159,-3.14159,0.18968,0.31907761,74.82,1
MOL000002,2,cyanidol,287.260,5,6,1.666,,1.3646428372,0.16978,-0.51200,0.24431,0.34187388,114.29,1
MOL000003,3,MTL,182.200,6,6,-2.940,,17.7345429325,-1.57836,-4.07164,0.033683,0.18464184,121.38,5
MOL000004,4,Procyanidin B1,578.560,10,12,3.362,3.300768,67.873461738,-0.98412,-1.96821,0.65629,0.31987154,220.76,3
MOL000005,5,"(2R,3R,4R)-4-[(2R,3R)-2-(3,5-dihydroxy-4-methoxyphenyl)-3,5,7-trihydroxychroman-8-yl]-2-(4-hydroxyphenyl)chroman-3,5,7-triol",592.590,9,12,3.613,2.658231,40.1143722209,-0.90058,-2.17402,0.61475,0.31492388,209.76,4
MOL000006,6,luteolin,286.250,4,6,2.067,15.944492,36.1626293429,0.18500,-0.84349,0.24552,0.39326519,111.13,1
MOL000007,7,Cosmetin,432.410,6,10,0.430,,9.67689435995,-1.07822,-2.26149,0.74097,0.32339817,170.05,4
MOL000008,8,apigenin,270.250,3,5,2.334,,23.062161017,0.42560,-0.61090,0.21306,0.40886214,90.9,1
MOL000009,9,luteolin-7-o-glucoside,448.410,7,11,0.162,,7.29267735852,-1.22694,-2.48723,0.77998,0.31502295,190.28,4
MOL000010,10,Rhoifolin,578.570,8,14,-0.429,,6.68425485239,-1.87388,-2.97856,0.77338,0.28938365,228.97,6
MOL000011,11,"(2R,3R)-3-(4-hydroxy-3-methoxy-phenyl)-5-methoxy-2-methylol-2,3-dihydropyrano[5,6-h][1,4]benzodioxin-9-one",386.380,2,8,2.487,3.394639,68.8255990293,0.21007,-0.53013,0.66236,0.25540102,107.59,4
MOL000012,12,Arachic acid,312.600,1,2,8.192,,16.6563562095,1.17971,1.08582,0.19499,0.17879377,37.3,18
MOL000013,13,glucocapparin,332.390,5,9,-2.563,,1.35912374495,-1.77057,-2.92643,0.14973,0.22983022,187.43,5
MOL000014,14,glucobrassicin,430.480,6,10,-1.157,4.193324,53.6401520197,-1.28752,-1.93673,0.47897,0.16837843,190.28,7
